timestamp,open,high,low,close,volume
2024-05-16 10:00:00,164.41,164.41,162.51,163.12,53584.21
2024-05-16 11:00:00,163.12,163.87,162.11,163.77,42363.71
2024-05-16 12:00:00,163.77,163.77,160.72,161.68,80527.72
2024-05-16 13:00:00,161.68,163.42,160.21,162.99,83285.97
2024-05-16 14:00:00,162.99,163.42,158.14,158.53,155271.33
2024-05-16 15:00:00,158.53,161.0,157.57,160.44,179852.58
2024-05-16 16:00:00,160.44,160.55,157.75,158.14,123339.12
2024-05-16 17:00:00,158.14,159.58,156.7,159.46,140741.62
2024-05-16 18:00:00,159.46,160.08,158.29,159.62,45916.6
2024-05-16 19:00:00,159.62,160.32,159.06,159.09,42154.19
2024-05-16 20:00:00,159.09,159.38,158.16,158.81,28224.68
2024-05-16 21:00:00,158.81,159.45,158.13,159.08,26567.49
2024-05-16 22:00:00,159.08,159.1,157.52,158.87,24537.66
2024-05-16 23:00:00,158.87,159.58,158.58,159.34,24930.09
2024-05-17 00:00:00,159.34,162.37,159.34,162.35,120068.98
2024-05-17 01:00:00,162.35,162.35,159.9,161.23,53899.84
2024-05-17 02:00:00,161.23,161.38,160.23,160.39,33489.02
2024-05-17 03:00:00,160.39,162.84,159.79,162.23,53104.66
2024-05-17 04:00:00,162.23,162.76,161.08,161.45,32733.81
2024-05-17 05:00:00,161.45,163.87,161.37,163.5,45175.18
2024-05-17 06:00:00,163.5,167.36,162.61,166.78,79176.07
2024-05-17 07:00:00,166.78,169.79,166.78,169.28,150594.52
2024-05-17 08:00:00,169.28,169.94,167.9,168.33,47506.35
2024-05-17 09:00:00,168.33,169.14,167.83,168.03,30470.77
2024-05-17 10:00:00,168.03,169.1,167.41,169.06,29366.35
2024-05-17 11:00:00,169.06,169.08,167.33,167.49,73482.78
2024-05-17 12:00:00,167.49,168.79,165.96,168.05,80778.57
2024-05-17 13:00:00,168.05,168.29,166.16,166.47,57207.07
2024-05-17 14:00:00,166.47,168.36,166.47,168.35,59380.99
2024-05-17 15:00:00,168.35,170.98,167.67,169.72,117352.02
2024-05-17 16:00:00,169.72,172.05,168.38,168.4,130476.28
2024-05-17 17:00:00,168.4,168.82,167.27,167.42,58465.93
2024-05-17 18:00:00,167.42,168.46,166.34,168.19,53421.79
2024-05-17 19:00:00,168.19,168.96,167.62,168.95,55675.47
2024-05-17 20:00:00,168.95,169.09,168.41,168.69,58583.51
2024-05-17 21:00:00,168.69,169.0,167.6,167.74,76232.88
2024-05-17 22:00:00,167.74,168.74,167.45,168.65,24239.48
